CODGEO_STR;VAC;TOTAL;taux_vacance
02013;20.32608695652181;177.81709119030631;11.430896108163244
02014;32.0;336.1454269938847;9.519689226824484
02015;1.26666666666667;36.53846153846153;3.466666666666676
02016;1.01098901098901;87.49938949938948;1.1554240741257562
02017;13.641025641025655;141.26065264483492;9.656635011677775
02018;119.32022975630352;1207.2979898935678;9.883245955443236
02019;15.61996940806081;173.8416751423281;8.985169635113321
02020;28.0;237.0811769115473;11.810300743718061
02021;6.22222222222223;53.346320346320425;11.663826449187155
02022;16.22892575833751;221.43731814428057;7.32890277679543
02023;6.105263157894719;55.88699690402472;10.924299919674244
02024;1.81609195402299;29.197701149425285;6.219982678529255
02025;13.724832214765085;150.309240125098;9.131063534977828
02027;10.0;108.29906542056075;9.233690024162927
02028;66.22283077438419;1177.0115265046172;5.626353632325657
02029;12.0;165.11654701561525;7.267593840165
02030;7.813620071684588;125.83422108504695;6.209455587128112
02031;63.65371947300775;378.7638366218935;16.805648617545025
02032;7.60411453989436;108.82795186464917;6.9872807579358875
02033;1.0;52.13333333333335;1.9181585677749353
02034;4.722222222222224;60.41025641025641;7.81692133559706
02035;10.1769911504425;119.9521853974842;8.484206533394218
02036;10.2222222222222;45.3722222222222;22.52969266560545
02037;25.0860585197935;580.7922227580776;4.3192827894051895
02038;6.69042627533195;56.02362650161394;11.942151362049385
02039;7.699999999999999;81.36704064534501;9.463291203574716
02040;7.91489361702128;91.9688022950036;8.606063599298688
02041;20.11309189624403;367.8857450969624;5.467211536272733
02042;12.680977011494264;188.4831258580226;6.727911028516355
02043;3.0;29.20000000000004;10.273972602739713
02044;4.0;21.41666666666666;18.677042801556425
02046;11.08730158730154;255.2156482142315;4.344287532868952
02047;3.0;50.0;6.0
02048;4.27322404371584;64.30046106557376;6.64571291231955
02049;27.22689075630244;352.7974512164964;7.7174284174730285
02050;8.0;147.16739344917852;5.435986744416079
02051;24.0;212.01837716011232;11.319773465615977
02052;4.056338028169;64.95888566694282;6.244469846614449
02053;38.39373264098532;352.6373647168426;10.887596290828213
02054;11.7583807716635;227.97616611960024;5.157723709370062
02055;6.0;58.65168539325848;10.229885057471256
02056;8.44444444444445;86.00000000000001;9.819121447028428
02057;58.59159573652309;623.6190588755456;9.395414540756699
02058;36.165763623172424;367.4140433244314;9.843326427029787
02059;177.23170026496092;1368.7647641954832;12.948295054127298
02060;9.0;118.08503030621233;7.621626531882694
02061;16.235294117647058;111.41433304829373;14.57199776137393
02062;4.61538461538461;70.4135338345864;6.554683970594273
02063;14.162322908313241;166.82132928111966;8.48951568084411
02064;118.26245268168206;1775.6770994621152;6.660132786389254
02065;29.659365458648658;270.58917597178333;10.961031738291519
02066;7.0;91.80612244897948;7.62476381015895
02067;11.0;101.57416267942578;10.829525648876542
02068;3.0;37.89772727272725;7.916041979010499
02069;4.916666666666669;56.942211838006216;8.634484871529047
02070;24.10859728506794;221.83099570180588;10.868002106196053
02071;138.70476190476182;477.4831986909476;29.049139799061052
02072;7.1859649122806974;91.77876895628903;7.829659292666169
02073;22.487194689232087;272.1663426922259;8.262298147078862
02074;21.00193014705891;262.9867898824639;7.985925892492644
02075;9.0;87.80612244897951;10.249854735618836
02076;4.1311475409836;58.57345523329135;7.052934686078725
02078;5.998904309715098;70.11439273815675;8.55588143238735
02079;9.36363636363636;107.4848484848486;8.71158725683675
02080;7.0;150.19166060437482;4.6607115014454426
02081;14.32546296296292;180.54308220113424;7.934650715114978
02082;5.512820512820511;59.533333333333346;9.260056852442066
02083;21.860038930826537;365.92290912619166;5.9739465296194165
02084;16.62222222222223;130.63869576066867;12.723812133484783
02085;27.929294755876946;391.1482925033316;7.140334060294807
02086;26.22572793738869;457.77057793378026;5.7290112561979525
02087;1.0;17.0;5.88235294117647
02088;2.797222222222217;38.026851851851845;7.355913219216428
02089;35.32276280757676;538.9592400428619;6.553883890137525
02090;4.705882352941175;94.57948717948712;4.975584551447865
02091;3.0;44.73684210526318;6.705882352941174
02093;75.3274054459368;634.6338891775051;11.869426882255253
02094;18.255924170616055;209.76723834442097;8.702943469485588
02095;507.6640347908947;2941.4591514388576;17.25891840254057
02096;4.70744680851064;93.59042553191486;5.029838022165391
02097;4.11111111111111;117.74062155044354;3.4916675799522503
02098;25.15022566086391;179.9126393190258;13.979132181073101
02099;11.0;107.92760180995474;10.192017440885461
02100;7.0;62.37681159420288;11.22211895910781
02101;6.632958801498122;85.29493504244057;7.776497863791949
02102;6.45802083333333;91.76386775362327;7.037651083618733
02103;55.56485577480652;651.3243746213826;8.531057325638486
02104;2.0;46.72727272727272;4.280155642023347
02105;13.0;91.77202072538866;14.165537488708214
02106;31.533923303834698;335.97351790459027;9.385835973176224
02107;2.05128205128206;44.67692307692308;4.591368227731883
02108;3.8397048960429188;74.80831656606293;5.132724638512739
02109;30.126050420168124;237.79909312902598;12.668698616029713
02110;80.44078298141548;1050.117875042806;7.660167005359895
02111;31.219654340836016;314.5947452377099;9.923768535054913
02112;15.190740740740718;264.8938159216725;5.734652841134098
02114;66.75879363220062;633.4439889504749;10.539020781112832
02115;7.140000000000001;92.86615384615386;7.688484667760051
02116;8.12698412698413;83.58897243107774;9.722555368993364
02117;2.06896551724138;29.4973876698015;7.014063551666719
02118;3.24528301886793;53.408805031446555;6.076307112576551
02119;23.0;166.0104180918273;13.854552180741898
02120;8.0;85.6071428571429;9.345014601585309
02121;14.921748816485664;122.66131996658324;12.164999382487334
02122;2.0;36.0;5.555555555555555
02123;10.49249249249249;145.60294772051745;7.206236313726741
02124;21.999343205158848;312.1477188535728;7.047734734681385
02125;4.04301075268816;88.40550400562734;4.573256833003075
02126;38.14120484540189;256.5595257468615;14.86641539984546
02127;5.9375;94.4427083333333;6.286880273534442
02128;74.09475032010211;760.966313783616;9.736929083193461
02129;3.20000000000001;16.40000000000002;19.512195121951255
02130;4.61538461538461;96.37254901960785;4.789107128883318
02131;38.633783255851995;826.5077061027804;4.674340356488786
